Campaign,Ad group,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Avg. CPC,CTR,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - Genetic Testing TROAS,bipolar,May-23,8/05/2023,genetic testing for bipolar medication,genetic test for bipolar disorder,USD,2,1,1.21,50.00%,1.21,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,20/03/2023,dna pharmacogenetic testing,cheek swab dna test for medication,USD,1,1,2.55,100.00%,2.55,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,27/02/2023,Mental Health dna test,genetic testing for mental illness,USD,23,1,4.09,4.35%,4.09,0,0,0, , 
SS - DNA Testing B,mental health,Jan-23,23/01/2023,Mental Health dna test,dna testing for mental health,USD,4,1,2.92,25.00%,2.92,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,8/05/2023,pharmacogenomics testing,medication gene testing,USD,7,2,4.74,28.57%,9.47,0,0,0, , 
SS - Genetic Testing TROAS,medication,Apr-23,10/04/2023,genetic test for medication,test to see what medication works for you,USD,2,1,5.88,50.00%,5.88,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,20/03/2023,genetic testing for mental health medication,gene test for mental health,USD,1,1,2.68,100.00%,2.68,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,30/01/2023,dna test for medication,dna testing for medicine,USD,2,1,2.34,50.00%,2.34,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,13/03/2023,dna test for medication,medication dna test,USD,1,1,5.19,100.00%,5.19,0,0,0, , 
SS - Brand,Trademark,Jan-23,16/01/2023,clarityx dna,clarityxdna,USD,7,4,2.1,57.14%,8.38,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,2/01/2023,pharmacogenomic testing,pharmacogenomic testing,USD,116,10,5.75,8.62%,57.52,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,16/01/2023,genetic testing for mental health medication,genetic testing psychopharmacology,USD,1,1,6.63,100.00%,6.63,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Mar-23,6/03/2023,genetic testing antidepressants,ssri test,USD,1,1,1.08,100.00%,1.08,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,20/03/2023,pharmacogenetic tests,pharmacogenetic testing,USD,59,9,2.66,15.25%,23.97,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,15/05/2023,pharmacogenomics testing,genetic test for medication compatibility,USD,2,1,3.89,50.00%,3.89,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Jan-23,2/01/2023,genetic testing for adhd medication,genetic testing adhd medications,USD,1,1,7.42,100.00%,7.42,0,0,0, , 
SS - Competitors,Genesight,Mar-23,6/03/2023,genesight test,genesight swab test,USD,4,1,1.32,25.00%,1.32,0,0,0, , 
SS - DNA Testing A,Psych Meds,Jan-23,16/01/2023,dna testing for psychiatric drugs,dna testing for mental health,USD,3,1,2.84,33.33%,2.84,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,6/02/2023,dna test antidepressants,dna testing for anxiety medication,USD,5,2,11.32,40.00%,22.63,0,0,0, , 
SS - DNA Testing A,Psych Meds,Apr-23,10/04/2023,dna testing for psychiatric drugs,dna testing for anxiety medicine,USD,1,1,6.55,100.00%,6.55,0,0,0, , 
SS - Genetic Testing TROAS,bipolar,Mar-23,27/02/2023,genetic testing for bipolar medication,genetic test for bipolar disorder,USD,5,1,4.55,20.00%,4.55,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,6/02/2023,pharmacogenetic testing at home,pharmacogenetic testing at home,USD,4,2,5.76,50.00%,11.51,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,6/02/2023,pgx genetic testing,pgx test kit,USD,1,1,1.57,100.00%,1.57,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,6/03/2023,pharmacogenomic testing for antidepressants,dna test for best antidepressant,USD,1,1,2.43,100.00%,2.43,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,24/04/2023,pharmacogenetics test,dna test for drug metabolism,USD,1,1,10.76,100.00%,10.76,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,13/02/2023,pharmacogenetic tests,genetic testing to see what medications work,USD,3,1,2.37,33.33%,2.37,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,27/02/2023,genetic testing for mental health medication,genetic test antidepressants,USD,1,1,3.23,100.00%,3.23,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Jan-23,2/01/2023,genetic testing for adhd medication,genetic test adhd,USD,1,1,4.83,100.00%,4.83,0,0,0, , 
SS - DNA Testing A,antidepressants,Apr-23,10/04/2023,dna test for antidepressants,blood test for best antidepressant,USD,1,1,9.59,100.00%,9.59,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,9/01/2023,dna test for antidepressants,swab test for antidepressants,USD,4,1,8.91,25.00%,8.91,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,16/01/2023,dna test for medication,gene testing for medication near me,USD,1,1,3.09,100.00%,3.09,0,0,0, , 
SS - Brand,Trademark,Apr-23,10/04/2023,clarity x dna,clarity x dna,USD,10,5,2.46,50.00%,12.28,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,27/03/2023,pgx test,pgx test,USD,4,1,0.87,25.00%,0.87,0,0,0, , 
SS - Competitors,Tempus,Feb-23,20/02/2023,Tempus,tempus genetic testing reviews,USD,6,1,19.46,16.67%,19.46,0,0,0, , 
SS - DNA Testing B,depression,Apr-23,3/04/2023,depression dna test swab,antidepressant testing,USD,1,1,5.5,100.00%,5.5,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Mar-23,6/03/2023,genetic test for antidepressants,cheek swab for antidepressants,USD,2,2,5.22,100.00%,10.44,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,15/05/2023,genetic testing for antidepressants,antidepressants genetic testing,USD,1,1,6.77,100.00%,6.77,0,0,0, , 
SS - Genetic Testing TROAS,ssris,May-23,8/05/2023,ssri genetic testing,genetic testing for ssri,USD,4,2,4.12,50.00%,8.23,0,0,0, , 
SS - DNA Testing B,mental health,Apr-23,10/04/2023,Mental Health dna test,genetic testing for bipolar disorder,USD,2,1,6.86,50.00%,6.86,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Mar-23,20/03/2023,genetic testing for medication adhd,gene testing adhd,USD,3,2,2.99,66.67%,5.98,0,0,0, , 
SS - Genetic Testing TROAS,medication,Apr-23,10/04/2023,genetic medication testing,health partners genetic testing,USD,1,1,5.22,100.00%,5.22,0,0,0, , 
SS - Brand,Trademark,Apr-23,3/04/2023,ClarityX,clarityx,USD,77,28,1.7,36.36%,47.68,259.35,1,5.44,47.68,259.35
SS - DNA Testing A,antidepressants,Feb-23,6/02/2023,dna test antidepressants,test for best antidepressant,USD,2,1,10.01,50.00%,10.01,0,0,0, , 
SS - DNA Testing A,antidepressants,Mar-23,27/02/2023,dna test for antidepressants,depression gene testing,USD,1,1,6.01,100.00%,6.01,0,0,0, , 
SS - DNA Testing B,adhd,Mar-23,13/03/2023,ADHD dna test psychiatry,genetic testing for adhd,USD,6,1,8.44,16.67%,8.44,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,13/02/2023,genetic testing for antidepressants,genetic antidepressant testing,USD,3,2,4.12,66.67%,8.24,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,1/05/2023,pgx test,pgx testing,USD,171,13,1.53,7.60%,19.92,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,15/05/2023,pharmacogenetic tests,at home pharmacogenetic testing,USD,1,1,4.86,100.00%,4.86,0,0,0, , 
SS - DNA Testing A,Psych Meds,Feb-23,20/02/2023,dna testing for psychiatric drugs,dna test for mental illness,USD,4,2,5.55,50.00%,11.1,0,0,0, , 
SS - DNA Testing B,Anxiety,Mar-23,27/03/2023,Anxiety dna test,anxiety dna test,USD,3,2,4.27,66.67%,8.54,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,13/02/2023,dna test for medication,cheek swab to determine medication,USD,4,1,9.02,25.00%,9.02,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,20/03/2023,genetic testing for medication efficacy,genetic testing for medication efficacy,USD,70,11,6.52,15.71%,71.77,299.25,1,4.17,71.77,299.25
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,3/04/2023,pharmacogenomics testing,drug compatibility test,USD,1,2,1.37,200.00%,2.74,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,24/04/2023,genetic testing for mental health medication,gene psych testing,USD,10,2,1.72,20.00%,3.44,0,0,0, , 
SS - DNA Testing A,antidepressants,Mar-23,20/03/2023,dna test antidepressants,depression dna test,USD,2,1,10.27,50.00%,10.27,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,27/02/2023,genetic testing for mental health medication,test to see which antidepressant works best for you,USD,2,1,3.2,50.00%,3.2,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,24/04/2023,genetic test for antidepressants,test to see what antidepressant will work,USD,3,1,3.55,33.33%,3.55,0,0,0, , 
SS - DNA Testing B,adhd,Apr-23,17/04/2023,dna swab test for ADHD medication,dna test for adhd,USD,3,1,2.96,33.33%,2.96,334.7,1,113.07,2.96,334.7
SS - Pharmacogenetic,Pharmacogenomic,Jan-23,9/01/2023,pharmacogenomic test,pharmacogenomic tests,USD,5,1,3.83,20.00%,3.83,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,9/01/2023,pgx genetic testing,pgx genetic testing,USD,11,2,2.61,18.18%,5.22,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,9/01/2023,genetic testing for mental health medication,genealogy test for medication,USD,1,1,3.15,100.00%,3.15,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,22/05/2023,genetic testing antidepressants,genetic testing for best ssri,USD,1,1,16.95,100.00%,16.95,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,16/01/2023,genetic testing for medication,genetic test for medications,USD,3,1,11.52,33.33%,11.52,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,22/05/2023,genetic testing for antidepressant response,cheek swab for antidepressants,USD,2,1,3.68,50.00%,3.68,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/03/2023,genetic test for medication,genetic drug testing,USD,1,1,7.33,100.00%,7.33,0,0,0, , 
SS - DNA Testing B,depression,Mar-23,20/03/2023,dna test for depression,genetic test for antidepressants,USD,1,1,12.14,100.00%,12.14,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,6/02/2023,dna medical testing for medications,genotyping for medications,USD,1,1,11.5,100.00%,11.5,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,6/03/2023,pharmacogenomics testing,dna test for medication effectiveness,USD,3,1,4.8,33.33%,4.8,0,0,0, , 
SS - DNA Testing A,Psych Meds,Jan-23,23/01/2023,dna testing for psychiatric drugs,genetic testing for depression medications,USD,2,1,2.58,50.00%,2.58,0,0,0, , 
SS - DNA Testing A,Psych Meds,Feb-23,13/02/2023,dna testing for psychiatric drugs,psych genetic testing,USD,3,2,8.44,66.67%,16.88,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,23/01/2023,dna test antidepressants,test to see which antidepressant works best for you,USD,26,2,5.37,7.69%,10.73,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,3/04/2023,genetic testing for antidepressants,ssri test,USD,2,1,2.04,50.00%,2.04,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Mar-23,27/02/2023,genetic testing for antidepressants,blood test to determine best antidepressant,USD,7,2,5.81,28.57%,11.61,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,24/04/2023,genetic testing for mental health medication,psych med genetic testing,USD,2,1,9.39,50.00%,9.39,0,0,0, , 
SS - Competitors,Genesight,Jan-23,23/01/2023,genesight test,gene sight,USD,157,24,2.66,15.29%,63.87,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,13/03/2023,genetic testing for mental health medication,mouth swab medication test,USD,1,1,2.71,100.00%,2.71,0,0,0, , 
SS - Competitors,Genesight,Mar-23,27/03/2023,genesight psychotropic test,genesight psychotropic,USD,8,1,2.4,12.50%,2.4,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,13/02/2023,genetic testing for antidepressant response,blood test for mental health issues,USD,1,1,1.35,100.00%,1.35,0,0,0, , 
SS - Competitors,Genesight,Jan-23,2/01/2023,genesight psychotropic test,genesight testing for psychiatry,USD,24,4,4.43,16.67%,17.71,0,0,0, , 
SS - DNA Testing A,antidepressants,Mar-23,13/03/2023,dna test for antidepressants,gene testing for antidepressants,USD,2,1,7.37,50.00%,7.37,0,0,0, , 
SS - Genetic Testing TROAS,depression,May-23,8/05/2023,genetic testing depression,genetic testing for anxiety and depression,USD,1,1,4.15,100.00%,4.15,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,6/03/2023,genetic testing for mental health medication,medication genetic testing,USD,4,2,7.7,50.00%,15.4,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,10/04/2023,genetic testing for mental health medication,psych genetic testing,USD,1,1,4.92,100.00%,4.92,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,2/01/2023,dna pharmacogenetic testing,pharmacogenetic testing,USD,94,11,4,11.70%,44.02,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,20/02/2023,pharmacogenetics test,pharmacogenetic testing,USD,211,12,4.21,5.69%,50.57,160.78,0.62,3.18,81.57,259.35
SS - DNA Testing A,medication,Jan-23,2/01/2023,dna test for medication,dna medicine test,USD,1,2,0.88,200.00%,1.76,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,30/01/2023,pharmacogenetic testing for depression,genetic testing for depression,USD,4,1,3.44,25.00%,3.44,0,0,0, , 
SS - DNA Testing B,mental health,Feb-23,13/02/2023,Mental Health dna test,mental health genetic testing,USD,1,1,4.72,100.00%,4.72,0,0,0, , 
SS - DNA Testing B,mental health,Feb-23,13/02/2023,Mental Health dna test,genetic testing mental illness,USD,2,1,8.34,50.00%,8.34,0,0,0, , 
SS - Genetic Testing TROAS,medication,May-23,1/05/2023,genetic testing for medication,genetic testing for medication,USD,259,17,3.45,6.56%,58.69,0,0,0, , 
SS - Genetic Testing TROAS,psychiatric,May-23,1/05/2023,genetic testing for psychiatric medications,genetic testing for psychiatric medications,USD,136,9,5,6.62%,44.96,0,0,0, , 
SS - DNA Testing B,adhd,Mar-23,20/03/2023,dna swab test for ADHD medication,adhd gene testing,USD,1,1,12.94,100.00%,12.94,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,27/03/2023,pgx test,pgx dna testing,USD,2,2,1.27,100.00%,2.54,0,0,0, , 
SS - Genetic Testing TROAS,depression,Jan-23,9/01/2023,genetic testing depression,genetic testing depression,USD,11,2,2.83,18.18%,5.66,149.63,0.5,26.44,11.32,299.25
SS - Genetic Testing TROAS,medication,Apr-23,24/04/2023,genetic testing for medication efficacy,genetic testing for medication efficacy,USD,74,9,4.46,12.16%,40.18,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,22/05/2023,pharmacogenomics testing,medication genetic testing,USD,18,3,4.55,16.67%,13.65,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Apr-23,24/04/2023,pharmacogenomics testing,blood test for medication effectiveness,USD,3,1,3.49,33.33%,3.49,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,6/03/2023,Mental Health dna test,mental health genetic testing,USD,4,3,5.72,75.00%,17.16,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,13/03/2023,Mental Health dna test,schizophrenia genetic testing,USD,2,1,2.77,50.00%,2.77,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Apr-23,10/04/2023,genetic testing for mental health medication,genetic testing for antidepressants,USD,22,3,4.93,13.64%,14.78,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,13/02/2023,genetic test for medication,gene test for medication,USD,35,3,5.25,8.57%,15.74,0,0,0, , 
SS - Genetic Testing TROAS,ssris,Mar-23,13/03/2023,genetic testing for ssris,genetic testing for ssri,USD,7,3,3.94,42.86%,11.81,0,0,0, , 
SS - DNA Testing B,depression,Apr-23,3/04/2023,dna test for depression,genetic testing for depression,USD,1,1,2.37,100.00%,2.37,0,0,0, , 
SS - Genetic Testing TROAS,psychiatric,Apr-23,24/04/2023,best genetic testing for psychiatric medications,mental health medication genetic testing,USD,1,1,4.55,100.00%,4.55,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,24/04/2023,genetic testing for antidepressants,test to see which antidepressant works best for you,USD,9,3,5.3,33.33%,15.91,0,0,0, , 
SS - Genetic Testing TROAS,psychiatric,May-23,8/05/2023,genetic testing for psychiatric medications,genetic testing for psychiatric medications,USD,121,12,4.24,9.92%,50.89,374.25,1,7.35,50.89,374.25
SS - Genetic Testing TROAS,depression,Feb-23,13/02/2023,genetic testing for mental health meds,genetic mental health testing,USD,2,1,7.55,50.00%,7.55,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,10/04/2023,pgx genetic testing,pgx genetic testing,USD,6,1,4.61,16.67%,4.61,0,0,0, , 
SS - DNA Testing B,mental health,Apr-23,3/04/2023,Mental Health dna test,dna mental health testing,USD,2,1,7.86,50.00%,7.86,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,22/05/2023,pharmacogenetics testing,pharmacogenetics testing,USD,28,1,4.84,3.57%,4.84,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,13/03/2023,pharmacogenomics testing,genetic testing for medication near me,USD,2,1,1.49,50.00%,1.49,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,16/01/2023,dna test antidepressants,genetic testing ssri,USD,1,1,4.13,100.00%,4.13,0,0,0, , 
SS - DNA Testing A,antidepressants,May-23,1/05/2023,dna test antidepressants,dna antidepressant test,USD,6,1,6.38,16.67%,6.38,0,0,0, , 
SS - Genetic Testing TROAS,medication,Apr-23,27/03/2023,genetic testing for medication,genetic testing for medication,USD,46,5,7.82,10.87%,39.09,374.25,1,9.57,39.09,374.25
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,16/01/2023,pharmacogenetic testing psychiatry,best genetic testing for psychiatric medications,USD,1,1,4.72,100.00%,4.72,0,0,0, , 
SS - Competitors,Genesight,May-23,22/05/2023,genesight.com,genesight psychotropic,USD,1,1,1.56,100.00%,1.56,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,9/01/2023,dna test for antidepressants,genetic depression test,USD,1,1,2.97,100.00%,2.97,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,13/02/2023,dna test for medication,medication genetic testing,USD,4,2,6.96,50.00%,13.91,0,0,0, , 
SS - Genetic Testing TROAS,depression,Jan-23,2/01/2023,genetic testing for depression meds,genetic testing antidepressants,USD,5,1,3.73,20.00%,3.73,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,16/01/2023,genetic testing for mental health medication,gene psych testing,USD,5,1,2.96,20.00%,2.96,0,0,0, , 
SS - Competitors,Genesight,Feb-23,27/02/2023,genesight testing,gene sight,USD,2,1,1.96,50.00%,1.96,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,6/02/2023,dna test for medication,dna test for medication efficacy,USD,1,1,18.41,100.00%,18.41,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,6/02/2023,dna test for medication,pharmacogenetics testing,USD,1,1,7.27,100.00%,7.27,0,0,0, , 
SS - Competitors,Genesight,May-23,1/05/2023,genesight.com,genesight psychotropic combinatorial pharmacogenomic test,USD,2,1,2.45,50.00%,2.45,0,0,0, , 
SS - Competitors,Genesight,Mar-23,6/03/2023,genesight testing,gene sight testing,USD,40,4,1.69,10.00%,6.77,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,1/05/2023,pharmacogenomics testing,pharmacogenomic tests,USD,11,2,2.97,18.18%,5.94,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,13/03/2023,pharmacogenomics testing,psychogenomic testing,USD,2,1,1,50.00%,1,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,16/01/2023,dna test antidepressants,dna test to find best antidepressant,USD,2,1,6.25,50.00%,6.25,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Apr-23,17/04/2023,pharmacogenetics test,medication dna test,USD,7,1,8.99,14.29%,8.99,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,20/03/2023,pharmacogenomic test,pharmacogenetic testing at home,USD,4,1,3.39,25.00%,3.39,0,0,0, , 
SS - Genetic Testing TROAS,depression,Jan-23,30/01/2023,genetic testing for mental health meds,best genetic testing for psychiatric medications,USD,2,1,9.02,50.00%,9.02,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,1/05/2023,genetic testing for antidepressants,blood test for antidepressants,USD,17,2,3.28,11.76%,6.55,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,9/01/2023,best pharmacogenetic testing,pharmacogenetic testing,USD,80,5,4.57,6.25%,22.84,0,0,0, , 
SS - Genetic Testing TROAS,depression,Mar-23,20/03/2023,genetic testing for mental health meds,genetic testing for anxiety medications,USD,1,2,5.62,200.00%,11.24,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,30/01/2023,blood test for antidepressant,blood test for anxiety and depression,USD,5,3,4.36,60.00%,13.09,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,27/03/2023,antidepressant genetic test,antidepressant genetic test,USD,4,1,6.14,25.00%,6.14,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,20/02/2023,genetic test for antidepressants,test to see which antidepressant works best for you,USD,16,2,3.59,12.50%,7.17,0,0,0, , 
SS - DNA Testing A,medication,May-23,8/05/2023,dna test for medication,dna test for medication,USD,74,7,3.86,9.46%,27,573.75,2,21.25,13.5,286.88
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,20/03/2023,pharmacogenomic test,pharmacogenomics testing at home,USD,32,1,7.07,3.13%,7.07,374.25,1,52.93,7.07,374.25
SS - DNA Testing A,Psych Meds,Apr-23,3/04/2023,dna testing for psychiatric drugs,gene testing for mental health,USD,6,2,5.27,33.33%,10.54,0,0,0, , 
SS - DNA Testing A,Psych Meds,Jan-23,2/01/2023,dna testing for psychiatric drugs,genetic testing for anxiety medication,USD,8,1,5.57,12.50%,5.57,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,27/02/2023,pgx testing companies,pgx testing companies,USD,2,1,1.86,50.00%,1.86,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,13/02/2023,genetic medication testing,genetic testing psychiatric medications,USD,3,1,10.59,33.33%,10.59,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/03/2023,gene testing for medication,gene testing for medication,USD,134,9,3.9,6.72%,35.08,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,May-23,15/05/2023,pharmacogenomics testing,genetic medicine testing,USD,1,1,11.38,100.00%,11.38,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/03/2023,genetic test for medication,genetic swab for medication,USD,4,1,9.47,25.00%,9.47,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Feb-23,6/02/2023,pharmacogenetic testing for depression,test to see what antidepressant will work,USD,5,2,5.71,40.00%,11.42,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,May-23,8/05/2023,genetic testing antidepressants,blood test to see what antidepressant will work,USD,4,1,3.15,25.00%,3.15,187.13,0.5,59.4,6.3,374.25
SS - Genetic Testing TROAS,antidepressants,Mar-23,13/03/2023,antidepressant genetic test,antidepressant genetic test,USD,19,3,3.84,15.79%,11.52,0,0,0, , 
SS - DNA Testing B,mental health,Jan-23,16/01/2023,Mental Health dna test,dna test for antidepressants,USD,2,1,3.62,50.00%,3.62,0,0,0, , 
SS - Brand,Trademark,Jan-23,23/01/2023,clarityx dna test,clarity x dna test reviews,USD,6,3,3.56,50.00%,10.69,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,13/02/2023,dna test for medication,dna test for medications,USD,7,3,7.15,42.86%,21.45,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,16/01/2023,best pharmacogenetic testing,pharmacogenomics testing,USD,1,1,5.9,100.00%,5.9,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Feb-23,6/02/2023,genetic testing for mental health medication,test to see what medications work for you,USD,13,4,3.91,30.77%,15.63,0,0,0, , 
SS - Competitors,Genesight,Jan-23,16/01/2023,genesight reviews,genesight reviews,USD,158,13,6.84,8.23%,88.89,374.25,1,4.21,88.89,374.25
SS - Competitors,Genesight,Mar-23,6/03/2023,genesight test,genesight genetic testing,USD,7,1,2.06,14.29%,2.06,0,0,0, , 
SS - DNA Testing A,medication,Feb-23,6/02/2023,dna test for medication,dna test for medication effectiveness,USD,17,2,8.79,11.76%,17.57,0,0,0, , 
SS - Genetic Testing TROAS,medication,Apr-23,10/04/2023,genetic testing for medication efficacy,genetic testing for medication efficacy,USD,76,8,7.06,10.53%,56.51,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,24/04/2023,genetic testing for antidepressants,genetic testing to determine best antidepressant,USD,3,1,5.6,33.33%,5.6,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,May-23,1/05/2023,best pharmacogenetic testing,best pharmacogenetic testing companies,USD,6,1,6.62,16.67%,6.62,0,0,0, , 
SS - DNA Testing A,antidepressants,Apr-23,3/04/2023,dna test antidepressants,dna swab for antidepressant,USD,2,1,9.94,50.00%,9.94,0,0,0, , 
SS - DNA Testing B,adhd,Apr-23,3/04/2023,ADHD dna test psychiatry,genetic testing for adhd,USD,17,2,11.59,11.76%,23.18,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Mar-23,13/03/2023,genetic testing for psychotropic medications,psychotropic test,USD,4,1,2.65,25.00%,2.65,0,0,0, , 
SS - DNA Testing B,depression,Apr-23,10/04/2023,depression dna test swab,antidepressant gene test,USD,1,1,15.25,100.00%,15.25,0,0,0, , 
SS - DNA Testing A,antidepressants,Mar-23,27/03/2023,dna test for antidepressants,dna test for antidepressant,USD,5,2,5.87,40.00%,11.73,0,0,0, , 
SS - DNA Testing B,adhd,Jan-23,2/01/2023,dna swab test for ADHD medication,genetic testing for adhd medications,USD,13,2,4.43,15.38%,8.86,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,27/02/2023,dna test for medication,dna genetic testing for medications,USD,1,1,12.28,100.00%,12.28,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,16/01/2023,dna test for medication,gene medication testing,USD,3,1,9.36,33.33%,9.36,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,13/03/2023,pharmacogenomics testing,pharmacogenomics testing,USD,94,10,2.73,10.64%,27.31,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,20/03/2023,pharmacogenomics testing,genetic testing medications,USD,1,1,4,100.00%,4,0,0,0, , 
SS - DNA Testing B,Anxiety,Feb-23,30/01/2023,dna test for anxiety medication,geneswab,USD,1,1,0.7,100.00%,0.7,0,0,0, , 
