Campaign,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - DNA Testing B,Mar-23,6/03/2023,dna swab test for anxiety medication,genetic anxiety test,USD,7,1,2.51,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,2/01/2023,genetic testing for mental health medication,test to see what medications work for you,USD,8,4,14.55,0,0,0, --, --
SS - DNA Testing B,Apr-23,10/04/2023,dna test for anxiety medication,as needed anxiety medication options,USD,1,1,1.2,0,0,0, --, --
SS - Competitors,Mar-23,13/03/2023,genesight test,gene sight,USD,128,23,57.95,299.25,1,5.16,57.95,299.25
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic medication testing,genetic testing for pain medications,USD,5,1,2.33,0,0,0, --, --
SS - DNA Testing A,Feb-23,13/02/2023,dna test for medication,dna test for medication,USD,47,8,60.43,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna test for medication,dna test for medication,USD,57,7,56.04,374.25,1,6.68,56.04,374.25
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic testing for antidepressants,test to see what antidepressant will work,USD,12,1,4.03,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,13/02/2023,pharmacogenomics testing,gene testing for medication,USD,14,1,2.4,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,13/02/2023,genetic testing for medication,genetic testing for medication,USD,164,10,68.63,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,23/01/2023,pharmacogenomic testing for antidepressants,genetic testing antidepressants,USD,5,1,1.41,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,22/05/2023,genetic test for medication,genetic test for medication,USD,15,2,13.67,0,0,0, --, --
SS - Competitors,Mar-23,20/03/2023,genesight test,gene sight,USD,124,23,54.99,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,23/01/2023,genetic testing for depression meds,blood test for best antidepressant,USD,3,2,22.83,0,0,0, --, --
SS - DNA Testing B,May-23,8/05/2023,Mental Health dna test,dna mental health testing,USD,4,1,3.56,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,genetic testing for mental health meds,genetic testing psychopharmacology,USD,1,1,14.6,0,0,0, --, --
SS - Pharmacogenetic,May-23,1/05/2023,pharmacogenetics test,pharma genetic testing,USD,4,2,15.8,0,0,0, --, --
SS - DNA Testing A,May-23,8/05/2023,dna medical testing for medications,genetic testing for pain medications,USD,3,1,4.35,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,1/05/2023,adhd genetic testing,genetic testing adhd,USD,3,1,6.23,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna testing for psychiatric drugs,dna test for mental illness,USD,9,1,5.46,0,0,0, --, --
SS - DNA Testing A,Apr-23,10/04/2023,dna test antidepressants,test for best antidepressant,USD,1,1,12.92,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,3/04/2023,pharmacogenetics test,medicine genetic testing,USD,1,1,1.18,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenetics test,dna testing for medication,USD,15,4,39.82,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic testing for antidepressants,ssri test,USD,2,1,2.73,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic test for medication,blood test for medication compatibility,USD,5,2,10.45,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,13/02/2023,genetic testing for mental health medication,genetic testing for psychiatric medications near me,USD,1,1,13.7,0,0,0, --, --
SS - Pharmacogenetic,May-23,8/05/2023,best pharmacogenetic testing,best pharmacogenetic testing,USD,15,2,16.35,0,0,0, --, --
SS - Competitors,Mar-23,27/02/2023,genesight psychotropic test,genesight psychotropic,USD,3,1,3.61,0,0,0, --, --
SS - DNA Testing A,May-23,8/05/2023,dna medical testing for medications,medication blood test,USD,3,1,1.75,0,0,0, --, --
SS - DNA Testing A,Feb-23,20/02/2023,blood test for antidepressant,blood test for mental health medication,USD,2,1,3.53,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,6/02/2023,genetic testing for mental health medication,genetic testing for mental health medications,USD,1,2,18.26,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,16/01/2023,pgx genetic testing,pgx pharmacogenomics,USD,3,1,2.94,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,1/05/2023,genetic test for medication,genetic testing to see what medications work,USD,3,1,1.73,0,0,0, --, --
SS - Genetic Testing - Sol8,May-23,8/05/2023,genetic testing for mental health medication,genetic markers for bipolar disorder,USD,2,1,1.83,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic testing for depression meds,test for antidepressants,USD,4,1,4.6,0,0,0, --, --
SS - DNA Testing B,Mar-23,20/03/2023,dna test for anxiety medication,test to see what medications work for you,USD,10,1,6.42,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic medication testing,genesyte test,USD,12,2,10.03,0,0,0, --, --
SS - DNA Testing A,Mar-23,20/03/2023,blood test for antidepressant,blood test for best antidepressant,USD,7,1,2.18,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna test for antidepressants,dna testing for antidepressants,USD,10,2,9.23,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,dna testing for mental health medications,USD,1,1,8.96,0,0,0, --, --
SS - DNA Testing B,Jan-23,2/01/2023,ADHD dna test psychiatry,dna test adhd,USD,2,1,1.15,0,0,0, --, --
SS - Competitors,Jan-23,23/01/2023,genesight test,genesite test,USD,13,1,4.02,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,30/01/2023,genetic testing for mental health medication,teste farmacogenético preço,USD,1,1,0.29,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic testing for antidepressant response,testing for antidepressants,USD,1,1,4.35,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,2/01/2023,genetic testing for mental health medication,genetic testing for antidepressants reviews,USD,5,3,17.02,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,17/04/2023,pharmacogenomic testing for antidepressants,pharmacogenetic testing depression,USD,2,1,5.27,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,27/03/2023,genetic testing for mental health medication,genetic testing antidepressants,USD,1,1,2.33,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,27/02/2023,pharmacogenomics testing,genetic testing for medications,USD,6,2,4.86,0,0,0, --, --
SS - Competitors,Jan-23,9/01/2023,genesight psychotropic test,genesight psychotropic test,USD,64,2,8.35,0,0,0, --, --
SS - DNA Testing B,Feb-23,20/02/2023,dna swab test for ADHD medication,gene testing adhd,USD,1,1,3.13,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenetics,pharmacogenomics,USD,366,11,30.76,0,0,0, --, --
SS - DNA Testing B,May-23,15/05/2023,dna test for depression medication,dna for depression,USD,1,1,3.44,0,0,0, --, --
SS - Competitors,Feb-23,6/02/2023,Tempus,tempus saliva test,USD,3,1,3.85,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,30/01/2023,genetic testing for depression meds,test for best antidepressant,USD,1,1,6.14,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,22/05/2023,antidepressant genetic test,genetic testing for psychiatric medications 2023,USD,2,1,6.84,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,30/01/2023,pharmacogenomic testing,test for medication metabolism,USD,1,1,2.08,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,24/04/2023,pharmacogenomics testing,test for medication sensitivity,USD,4,1,4.83,0,0,0, --, --
SS - DNA Testing B,Mar-23,27/03/2023,Mental Health dna test,genetic testing for psychiatric medications near me,USD,1,1,8.38,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for psych meds,genetic testing for psychiatric medications,USD,7,2,19.1,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna test for medication,med dna,USD,2,1,8.62,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/02/2023,dna test for antidepressants,dna antidepressant test,USD,1,1,11.01,0,0,0, --, --
SS - DNA Testing A,Apr-23,27/03/2023,dna test for antidepressants,dna swab for antidepressant,USD,1,1,8.64,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,30/01/2023,pharmacogenomic testing for antidepressants,genetic testing for depression medications,USD,1,1,3.8,0,0,0, --, --
SS - DNA Testing B,Apr-23,10/04/2023,Mental Health dna test,dna test for mental illness,USD,7,1,8.53,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,20/02/2023,pharmacogenetics test,swab test for medications,USD,2,1,4.64,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,24/04/2023,pharmacogenetics,pharmaco genetics,USD,2,1,1.19,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,27/02/2023,adhd genetic testing,adhd genetic testing,USD,23,5,28.07,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna testing for psychiatric drugs,psychotropic genetic testing,USD,7,1,7.71,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,30/01/2023,pharmacogenetics test,pharmacogenetic testing,USD,91,8,34.34,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,20/02/2023,best genetic testing for psychiatric medications,psychotropic genetic testing,USD,8,1,4.1,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,test to see what medication works for you,USD,3,2,6.01,0,0,0, --, --
SS - DNA Testing A,May-23,22/05/2023,dna test for medication,dna testing for medication sensitivity,USD,1,1,7.77,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna test for medication,dna medicine test,USD,4,1,6.28,0,0,0, --, --
SS - DNA Testing A,Feb-23,30/01/2023,dna test for medication,dna test to determine medication,USD,1,1,1.79,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,13/03/2023,genetic test for medication,genetic testing for medications,USD,37,6,47.13,0,0,0, --, --
SS - DNA Testing A,Apr-23,17/04/2023,dna testing for psychiatric drugs,mental illness dna testing,USD,3,1,12.07,0,0,0, --, --
SS - DNA Testing B,Jan-23,9/01/2023,dna test for anxiety medication,test to see which antidepressant works best,USD,8,2,5.22,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,8/05/2023,genetic testing for antidepressant response,genecept assay,USD,4,2,3.44,249.5,1,72.53,3.44,249.5
SS - Pharmacogenetic,Jan-23,16/01/2023,pharmacogenomic test,dna test for medication effectiveness,USD,2,1,2.22,0,0,0, --, --
SS - DNA Testing A,Apr-23,10/04/2023,dna test for medication,medical dna testing,USD,25,2,15.05,324.35,1,21.55,15.05,324.35
SS - DNA Testing B,Mar-23,20/03/2023,depression dna test cheek swab,antidepressant dna test,USD,5,1,10.36,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,30/01/2023,best pharmacogenetic testing,best pharmacogenetic testing,USD,12,1,10.23,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,13/02/2023,genetic test for medication,genetic testing for medication near me,USD,9,1,6.57,0,0,0, --, --
SS - Competitors,Mar-23,27/03/2023,genesight test,genesite,USD,2,1,1.34,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic testing antidepressants,test to determine best antidepressant,USD,1,1,9.71,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,9/01/2023,genetic testing for depression meds,genetic testing antidepressants,USD,7,1,6.41,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,16/01/2023,genetic testing for mental health medication,depression genetic testing,USD,3,1,4.52,0,0,0, --, --
SS - DNA Testing B,Mar-23,27/03/2023,Mental Health dna test,genetic testing for anxiety medication,USD,2,1,6.22,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenetic tests,pharmacogenetic testing,USD,33,5,23.07,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,1/05/2023,genetic testing for antidepressant response,mouth swab for mental health,USD,1,1,5.25,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,24/04/2023,pharmacogenetics test,dna test for medications,USD,1,1,5.76,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,10/04/2023,pharmacogenetics test,pharmacogenetic test,USD,15,3,27,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,pharmacogenomic testing,pharmacogenomics testing,USD,28,3,20.47,0,0,0, --, --
SS - DNA Testing B,Mar-23,20/03/2023,dna test for depression medication,dna test for antidepressants,USD,1,1,3.19,0,0,0, --, --
SS - Brand,Mar-23,6/03/2023,ClarityX,clarityx,USD,83,61,61.73,438.98,1.17,7.11,52.63,374.25
SS - Pharmacogenetic,Feb-23,13/02/2023,pharmacogenomics testing,genetic testing for medications,USD,12,4,34.94,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,pharmacogenetics testing,pharmacogenetics testing,USD,37,7,23.86,0,0,0, --, --
SS - DNA Testing A,May-23,15/05/2023,dna test for antidepressants,dna testing for antidepressants,USD,11,1,5.35,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic testing for antidepressants,antidepressant test,USD,5,1,3.15,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test antidepressants,dna test for ssri,USD,1,1,3.61,0,0,0, --, --
SS - Competitors,Mar-23,27/02/2023,Tempus,tempus genetic testing reviews,USD,2,1,9.28,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,20/03/2023,genetic test for medication,genetic testing for best medication,USD,1,1,17.22,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic test for medication,genetic testing for medications,USD,9,2,6.16,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic testing antidepressants,antidepressant test,USD,3,1,2.67,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,22/05/2023,best genetic testing for psychiatric medications,best genetic testing for psychiatric medications,USD,22,2,18.5,0,0,0, --, --
SS - DNA Testing B,Apr-23,24/04/2023,Anxiety dna test,dna test anxiety,USD,1,1,2.36,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,22/05/2023,antidepressant genetic test,saliva test to determine antidepressant,USD,1,1,2.36,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna testing for psychiatric drugs,mental health dna test,USD,5,2,7.38,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,26/12/2022,genetic testing for depression meds,genetic testing for antidepressants,USD,5,1,4.15,0,0,0, --, --
SS - DNA Testing A,Mar-23,27/02/2023,dna test for antidepressants,dna test for mental health medication,USD,3,1,7.34,0,0,0, --, --
SS - Brand,Apr-23,24/04/2023,clarityx dna test,clarity dna,USD,2,3,5.39,0,0,0, --, --
SS - Competitors,May-23,8/05/2023,genesight test,genesite test,USD,19,2,3.66,0,0,0, --, --
SS - DNA Testing A,Jan-23,23/01/2023,dna testing for psychiatric drugs,genetic testing mental illness,USD,1,1,2.48,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,30/01/2023,pharmacogenomic testing for antidepressants,gene testing for antidepressants,USD,1,1,5.49,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,6/03/2023,genetic testing for mental health medication,genetic testing for mental health,USD,15,2,5.26,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,23/01/2023,genetic testing for schizophrenia medication,genetic testing for schizophrenia medication,USD,2,1,2.14,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic testing depression,gene swab test for depression,USD,6,1,1.15,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/03/2023,genetic test for medication,genetic testing for medication effectiveness,USD,14,1,4.63,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna testing for psychiatric drugs,dna testing mental health,USD,4,4,52.22,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,27/03/2023,pharmacogenetic testing near me,pharmacogenetic testing near me,USD,43,5,16.56,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic medication testing,genetic testing for adhd near me,USD,2,1,10.16,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,20/03/2023,pharmacogenetics test,genetic testing for metabolism of medications,USD,1,1,12.15,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,10/04/2023,pharmacogenomics testing,psychogenomic testing,USD,2,1,21.26,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,6/03/2023,adhd genetic testing,genetic testing for adhd medications,USD,3,1,4.08,0,0,0, --, --
SS - DNA Testing A,Jan-23,2/01/2023,dna test for antidepressants,dna test for antidepressants,USD,49,2,11.09,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna test antidepressants,saliva test for antidepressants,USD,6,1,4.44,299.25,1,67.4,4.44,299.25
SS - Brand,May-23,8/05/2023,clarity x dna,clarity x,USD,6,1,2.08,0,0,0, --, --
SS - Genetic Testing - Sol8,May-23,8/05/2023,genetic testing for mental health medication,mouth swab for medication,USD,4,1,1.77,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenetics test,genetic testing medications,USD,1,1,6.11,0,0,0, --, --
SS - Competitors,May-23,22/05/2023,genesight psychotropic test,genesight psychotropic test,USD,30,5,12.93,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,27/02/2023,genetic testing for adhd medication,genetic testing for adhd,USD,5,2,16.9,0,0,0, --, --
SS - DNA Testing B,Apr-23,10/04/2023,dna test for anxiety medication,blood test for mental health medication,USD,2,1,12.28,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,17/04/2023,pgx test,pgx test kit,USD,2,1,2.73,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,20/03/2023,genetic test for medication,medication sensitivity testing,USD,7,2,11.8,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,23/01/2023,genetic testing for medication,genetic test for medication,USD,8,1,10.59,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,13/03/2023,genetic test for medication,geno testing for medications,USD,3,1,2.99,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,genetic medication testing,gene site,USD,32,1,1.25,0,0,0, --, --
SS - DNA Testing B,Mar-23,20/03/2023,Mental Health dna test,psych med genetic testing,USD,1,1,4.41,0,0,0, --, --
SS - Competitors,Jan-23,9/01/2023,genesight testing,genesight,USD,17,1,0.82,0,0,0, --, --
SS - Genetic Testing - Sol8,May-23,8/05/2023,genetic testing for mental health medication,mouth swab for antidepressants,USD,2,1,4.2,0,0,0, --, --
SS - DNA Testing A,Jan-23,23/01/2023,blood test for antidepressant,blood work for antidepressants,USD,1,1,2.71,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,6/03/2023,antidepressant genetic test,antidepressant genetic test,USD,13,1,2.59,0,0,0, --, --
SS - DNA Testing B,Feb-23,13/02/2023,Mental Health dna test,dna testing for psychiatric medications,USD,2,2,24.23,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,blood test for antidepressant,genetic testing for depression treatment,USD,1,1,4.35,0,0,0, --, --
SS - Competitors,Mar-23,6/03/2023,tempus genetic testing,tempus genetic testing reviews,USD,2,1,11.98,0,0,0, --, --
SS - DNA Testing A,Feb-23,13/02/2023,dna testing for psychiatric drugs,psychiatric dna test,USD,7,3,29.94,0,0,0, --, --
SS - DNA Testing B,Apr-23,3/04/2023,Mental Health dna test,schizophrenia genetic test,USD,2,1,2.85,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenetic tests,pharmacogenetic test,USD,2,1,3.67,0,0,0, --, --
SS - Brand,Jan-23,30/01/2023,clarityx dna reviews,clarityx reviews,USD,4,3,9.66,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic testing for mental health meds,mental health medication test,USD,1,1,6.69,0,0,0, --, --
SS - Brand,Feb-23,13/02/2023,clarityx dna,clarityx dna,USD,16,9,22.52,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,27/02/2023,genetic test for medication,genetic testing medications,USD,1,1,6.81,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,10/04/2023,genetic testing for mental health medication,test to see which antidepressant works best for you,USD,1,1,14.7,0,0,0, --, --
SS - Genetic Testing TROAS,May-23,15/05/2023,adhd genetic testing,adhd genetic testing,USD,53,11,44.49,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,20/03/2023,genetic testing for mental health medication,genetic test for ssri,USD,1,1,6.26,299.25,1,47.8,6.26,299.25
SS - Brand,May-23,1/05/2023,clarityx dna reviews,clarity x dna test reviews,USD,7,2,10.98,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,genetic testing for mental health meds,psychotropic test,USD,7,1,7.11,0,0,0, --, --
SS - Brand,Mar-23,13/03/2023,clarityx dna,clarityxdna,USD,10,5,2.62,299.25,1,114.22,2.62,299.25
SS - DNA Testing B,Apr-23,27/03/2023,ADHD dna test psychiatry,is there genetic testing for adhd,USD,1,1,2.34,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,6/03/2023,pharmacogenomic test,pharmacogenomic test,USD,11,1,2.13,0,0,0, --, --
SS - DNA Testing A,Jan-23,16/01/2023,dna test for medication,genetic testing for depression,USD,10,2,14.48,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna test antidepressants,does genetic testing for antidepressants work,USD,1,2,20.34,0,0,0, --, --
SS - DNA Testing A,Apr-23,17/04/2023,dna test antidepressants,gene testing for antidepressants,USD,7,2,7.51,0,0,0, --, --
SS - Genetic Testing - Sol8,May-23,1/05/2023,genetic testing for mental health medication,genetic testing for depression,USD,2,1,7.52,0,0,0, --, --
SS - DNA Testing B,Apr-23,3/04/2023,Mental Health dna test,genetic testing for antipsychotic drugs,USD,4,1,12.5,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,20/03/2023,genetic testing for mental health medication,genome testing for medication,USD,2,1,5.43,0,0,0, --, --
SS - Competitors,Apr-23,24/04/2023,genesight reviews,genesight reviews,USD,92,4,26.36,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,27/02/2023,pharmacogenetics test,genetic testing for medication,USD,11,1,2.96,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,6/03/2023,genetic testing depression,depression gene test,USD,7,1,11.25,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic medication testing,genetic medication testing,USD,29,3,23.02,0,0,0, --, --
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenetics test,test to see what medications work for you,USD,4,1,3.01,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenomics testing,pharmacological dna testing,USD,1,1,7.15,0,0,0, --, --
SS - DNA Testing A,Feb-23,13/02/2023,dna testing for psychiatric drugs,dna test for antidepressants,USD,4,1,13.2,0,0,0, --, --
SS - DNA Testing A,Feb-23,13/02/2023,dna test antidepressants,saliva test for antidepressants,USD,7,2,9.7,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna test for medication,dna testing for medications,USD,3,1,8.7,0,0,0, --, --
SS - Brand,May-23,15/05/2023,clarityx dna,clarityxdna,USD,13,12,9.61,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,16/01/2023,genetic medication testing,genetic testing for metabolizing medications,USD,2,2,28.25,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,2/01/2023,pharmacogenetic tests,gene testing for medications,USD,3,3,6.12,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,6/03/2023,genetic testing for mental health medication,genetic testing for medications,USD,1,1,11.79,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,6/02/2023,genetic testing for adhd medication,genetic testing for adhd medications,USD,22,2,15.15,0,0,0, --, --
SS - DNA Testing B,Mar-23,20/03/2023,depression dna test swab,dna testing for depression drugs,USD,1,1,9.19,0,0,0, --, --
SS - DNA Testing B,Jan-23,30/01/2023,Mental Health dna test,dna testing for antidepressants,USD,1,1,12.59,0,0,0, --, --
SS - Competitors,Jan-23,16/01/2023,genesight test,genesight genetic testing,USD,6,3,6.85,0,0,0, --, --
SS - DNA Testing A,Apr-23,17/04/2023,dna test antidepressants,dna swab for antidepressant,USD,5,1,2.03,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,9/01/2023,genetic testing for psychiatric medications,genetic testing for mental illness,USD,1,1,2.3,0,0,0, --, --
SS - Competitors,Mar-23,6/03/2023,genesight testing,genesite testing,USD,19,1,3.06,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,27/03/2023,genetic testing for mental health medication,saliva test for antidepressants,USD,1,1,7.56,0,0,0, --, --
SS - Genetic Testing - Sol8,Jan-23,23/01/2023,genetic testing for mental health medication,genetic testing for medications,USD,19,1,3.1,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic test for medication,genetic testing for medication effectiveness,USD,15,1,11.97,0,0,0, --, --
SS - Competitors,Jan-23,9/01/2023,tempus genetic testing,tempus test,USD,14,2,11.66,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,17/04/2023,genetic test for medication,genetic testing for medication sensitivity,USD,6,1,7.3,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,30/01/2023,pharmacogenetic tests,pharmacogenetic testing,USD,37,2,15.6,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,20/03/2023,genetic test for medication,blood test for medication compatibility,USD,5,2,7.37,0,0,0, --, --
SS - Pharmacogenetic,May-23,15/05/2023,pharmacogenomic test,pharmacogenomic test,USD,32,3,11.7,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,genetic testing for antidepressants,genetic testing for antidepressants,USD,166,21,157.31,374.25,1,2.38,157.31,374.25
SS - Genetic Testing TROAS,May-23,15/05/2023,genetic test for medication,gene testing for medications,USD,10,1,3.48,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,20/03/2023,genetic testing for mental health medication,genetic testing for mental health,USD,11,2,7.33,0,0,0, --, --
SS - Pharmacogenetic,May-23,1/05/2023,pharmacogenomics testing,genetic testing for drug metabolism,USD,12,1,4.61,204.85,0.5,44.44,9.22,409.7
SS - Pharmacogenetic,May-23,22/05/2023,pharmacogenetics testing,pharmacogenetic testing,USD,166,11,59.46,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,23/01/2023,dna pharmacogenetic testing,pharmacogenetic testing,USD,79,4,8.28,0,0,0, --, --
SS - DNA Testing A,Apr-23,17/04/2023,dna testing for psychiatric drugs,genetic swab for medication,USD,1,1,9.37,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,9/01/2023,genetic testing for depression meds,blood test to see what antidepressant will work,USD,4,1,1.83,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,27/02/2023,pharmacogenetic testing near me,pharmacogenetic testing near me,USD,23,1,1.22,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic medication testing,best genetic testing for medication,USD,3,1,9.68,299.25,1,30.91,9.68,299.25
SS - Genetic Testing TROAS,May-23,22/05/2023,genetic testing antidepressants,antidepressant test,USD,1,1,4.32,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,10/04/2023,genetic testing for mental health medication,psychogenomic testing,USD,4,1,1.6,0,0,0, --, --
SS - DNA Testing B,Apr-23,17/04/2023,Mental Health dna test,dna testing for bipolar disorder,USD,6,1,2.74,0,0,0, --, --
SS - Genetic Testing - Sol8,Apr-23,17/04/2023,genetic testing for mental health medication,genetic medication testing,USD,4,1,8.11,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,10/04/2023,pharmacogenetics,pharmacogenetic,USD,25,1,5.98,0,0,0, --, --
